zero crossings,amplitude,duration,envelope symmetry,event,start,end,species,height,recording
1.0,0.45885,0.17,0.47339,bite,0.436949,1.076949,alfalfa,tall,recording_06
1.0,0.33307,0.18,0.41291,bite,1.316972,2.076972,alfalfa,tall,recording_06
1.0,0.56518,0.18,0.41429,bite,2.3606409999999998,3.160914,alfalfa,tall,recording_06
1.0,0.62466,0.2,0.52133,chew-bite,3.88,4.48,alfalfa,tall,recording_06
2.0,0.40997,0.22,0.37647,chew-bite,4.741371,5.301371,alfalfa,tall,recording_06
3.0,0.5447,0.3,0.51782,chew-bite,5.552579,6.352579,alfalfa,tall,recording_06
3.0,0.6343,0.31,0.59007,chew-bite,6.64,7.36,alfalfa,tall,recording_06
1.0,0.13141,0.18,0.5245,chew,7.48,8.2,alfalfa,tall,recording_06
3.0,0.56703,0.33,0.58471,chew-bite,8.28,8.92,alfalfa,tall,recording_06
1.0,0.38535,0.33,0.56617,chew-bite,9.12,9.8,alfalfa,tall,recording_06
3.0,0.63958,0.31,0.59686,chew-bite,9.96,10.64,alfalfa,tall,recording_06
5.0,0.42709,0.37,0.639,chew-bite,10.96,11.6,alfalfa,tall,recording_06
1.0,0.50085,0.26,0.51095,chew-bite,11.76,12.4,alfalfa,tall,recording_06
1.0,0.23067,0.22,0.47291,chew,12.64,13.208294,alfalfa,tall,recording_06
3.0,0.66474,0.29,0.55512,chew-bite,13.384932000000001,13.984932,alfalfa,tall,recording_06
1.0,0.39466,0.25,0.49462,chew-bite,14.28,14.84,alfalfa,tall,recording_06
3.0,0.53847,0.29,0.59107,chew-bite,15.08,15.64,alfalfa,tall,recording_06
3.0,0.49574,0.28,0.68133,chew-bite,16.0,16.48,alfalfa,tall,recording_06
3.0,0.1913,0.22,0.46393,chew,16.916484,17.447965,alfalfa,tall,recording_06
5.0,0.31837,0.3,0.73775,chew-bite,17.76,18.24,alfalfa,tall,recording_06
